Source,Title,Link,Price,Posted,Description,Bedrooms,Bathrooms,Utilities Included
The Cannon,"98 Freshmeadow Way, Guelph",https://thecannon.ca/classified/housing/159522/,$950,8/Jun/2026,"One bright and spacious bedroom available. Rent is $950 per month plus utilities. Kitchen, bathroom, living room and laundry shared with two other roommates. Please reach out for additional information.",N/A,N/A,False
The Cannon,"42 Lowes Rd W, Guelph",https://thecannon.ca/classified/housing/159515/,$2600,8/Jun/2026,"Step into comfort and convenience with this brand-new, 900 sq.ft, modern 2-bedroom stacked townhouse, just an 12-minute bus ride from the University.",N/A,N/A,False
The Cannon,"12 Landsdown Dr, Guelph",https://thecannon.ca/classified/housing/159508/,$1750.00,8/Jun/2026,"One Bedroom basement apartment . Ground level, seperate entrance , Plenty of natural light, laundry ,Parking ,  Plus utilities . Heat included in rental .No smoking, no pets ,Single occupancy",N/A,N/A,False
The Cannon,"230 Chancellors Way, Guelph",https://thecannon.ca/classified/housing/159490/,$1050,8/Jun/2026,1 bedroom avalable. all female apartment. rent is 1050 a month plus utilities. please reach out for any additinal information,1,N/A,False
The Cannon,"708 Woolwich St, Guelph",https://thecannon.ca/classified/housing/159496/,$2400,8/Jun/2026,"Newly built 2 bedroom, 2 bathroom unit available for rent. This bright and modern unit includes new appliances, large windows throughout the unit, and one parking spot.",2,2,False
The Cannon,Apartment or Condo in Guelph,https://thecannon.ca/classified/housing/159509/,$800,8/Jun/2026,Looking for a room with its own personal bathroom within this price range $700-850,N/A,N/A,False
The Cannon,"230 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159488/,$750-850,8/Jun/2026,2 rooms available in September. ($800/ $850),N/A,N/A,False
The Cannon,"6 St Arnaud St, Guelph",https://thecannon.ca/classified/housing/159482/,$1050,8/Jun/2026,"Looking to for a male to take over my lease. Offering 1 bedroom in an all male 4-bedroom house, 2-bath house. $1050 monthly, everything included. Available starting now.",1,N/A,False
The Cannon,"32 Bathgate Dr, Guelph",https://thecannon.ca/classified/housing/159477/,$1175.00,8/Jun/2026,"Fully furnished one bedroom is available in a 2bed Apt .Looking for a mature female student to move in. Apt has separate entrance and walk out to a beautiful backyard facing conservation area, Apt has a very bright and large living room and spacious",2,N/A,False
The Cannon,"12 Argyle Dr, Guelph",https://thecannon.ca/classified/housing/159473/,$1850,8/Jun/2026,"Hi University of Guelph students! This lower unit has 2 bedrooms, 1 bathroom, and living room. The kitchen has large stainless appliances, including a dishwasher. Laundry is shared with the upper tenants. It is steps away from the bus stop (Bus Route",2,1,False
The Cannon,"49 Southcreek Trail, Guelph",https://thecannon.ca/classified/housing/159465/,$1650,8/Jun/2026,"One Bedroom very bright walkout apartment. Great location, close to Preservation Park and walking trail. 4 minute walk to public transit, within 7 minute ride to the University of Guelph, shopping centers and various amenities. 5 minute drive to Hwy",N/A,N/A,False
The Cannon,"32 Lily Ln, Guelph",https://thecannon.ca/classified/housing/159459/,$1050,8/Jun/2026,"One bedroom in a 3 bedroom condo.  Direct 14 min bus ride to university. Within 10 minutes walk to grocery, restaurants and entertainment!  Convenient, modern and fresh location.  Main floor is furnished.",3,N/A,False
The Cannon,House in Puslinch,https://thecannon.ca/classified/housing/159453/,$600,8/Jun/2026,"I’m a 19 year old male, working full-time in the area. 10 hours a day, 5 days a week. I just need a comfortable, quiet place at night to lay my head during the week. Willing to share space, but not a bedroom – I want my own. Ideally 15 minutes from",N/A,N/A,False
The Cannon,"1155 Gordon St, Guelph",https://thecannon.ca/classified/housing/159443/,$600,8/Jun/2026,Summer sublet from June 15TH – August 31st. 1 Fully furnished Bedroom available in a 4 bedroom house. Full access to kitchen and living space. House is a 7 minute bus to campus (25 minute walk) in a great area. Email me for any more details and,4,N/A,False
The Cannon,"66 Rodgers Rd, Guelph",https://thecannon.ca/classified/housing/159452/,$960,8/Jun/2026,We’re three girls heading into our 3rd year of Biomedical Sciences at UofG. We are looking for one more female roommate to join our shared townhouse on Rodgers Road.,N/A,N/A,False
The Cannon,"117 Gosling Gardens, Guelph",https://thecannon.ca/classified/housing/159445/,"$850 incl. Utili, WiFi",8/Jun/2026,"Two basement rooms in this all-female townhouse are available for rent from September or sooner. The rooms share a bathroom and a fridge. Some furniture (e.g., a mattress and a desk) is available for one of the rooms but can be removed if not needed.",N/A,N/A,False
The Cannon,"36 Carroll Crescent, Guelph",https://thecannon.ca/classified/housing/159401/,$1000/mo including wifi and,8/Jun/2026,"Beautiful student rental available for $1000/mo – utilities and wifi included. This desirable South Guelph has 3.5 baths, 5 parking spots, dishwasher, washer & dryer, AC, extra fridge and chest freezer and is close to the bus line. It has two",N/A,3.5,False
The Cannon,"107 Moss Pl, Guelph",https://thecannon.ca/classified/housing/159409/,$1000/mo utilities + wifi,8/Jun/2026,"This desirable  location near Rodgers and Edinburgh near Zehr’s  has 3 full baths, 3 parking spots, dishwasher, washer & dryer, AC and extra fridge and is close to the bus line. It has a big, beautiful bright kitchen and a living room, and a",N/A,N/A,False
The Cannon,"767 Scottsdale Dr, Guelph",https://thecannon.ca/classified/housing/159395/,$1795,8/Jun/2026,"Welcome to your newly renovated 2-bedroom legal basement apartment in the vibrant Southend of Guelph, Step into modern living with this spacious open-concept layout, seamlessly integrating the living and kitchen areas to create a versatile and",N/A,N/A,False
The Cannon,"78 Koch Dr, Guelph",https://thecannon.ca/classified/housing/159389/,$900,8/Jun/2026,We are looking for a respectful and responsible student tenant.,N/A,N/A,False
The Cannon,"155 Bristol St, Guelph",https://thecannon.ca/classified/housing/159387/,$950,8/Jun/2026,TWO MONTHS FREE!,N/A,N/A,False
The Cannon,"17 Emslie St, Guelph",https://thecannon.ca/classified/housing/159381/,$3800,8/Jun/2026,TWO MONTHS FREE!,N/A,N/A,False
The Cannon,"153 Janefield Ave, Guelph",https://thecannon.ca/classified/housing/159374/,$850 incl,8/Jun/2026,Aug 01 Start Date- 9 month lease!,N/A,N/A,False
The Cannon,"125 Janefield Ave, Guelph",https://thecannon.ca/classified/housing/159278/,$940,8/Jun/2026,Hi there!,N/A,N/A,False
The Cannon,"66 Rodgers Rd, Guelph",https://thecannon.ca/classified/housing/159368/,$900 incl,8/Jun/2026,Available July 01 or earlier.,N/A,N/A,False
The Cannon,"693 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159362/,$850 incl,8/Jun/2026,Aug 01 Start Date!,N/A,N/A,False
The Cannon,"92 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/159357/,$825 incl,8/Jun/2026,"92 Harvard Road is less than a 15-minute walk to Campus and a 5-minute walk to the grocery store. However, if you don’t feel like walking, the direct bus to Campus is at the end of your laneway for a 5 minute bus ride.",N/A,N/A,False
The Cannon,"101 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/159351/,$980,8/Jun/2026,"Location, Location, location! Looking for two clean, caring and study oriented students to live in this beautiful house’s furnished 2 bedroom apartment. Located just a 7 minute walk away from the Campus Estates or Walmart. Includes a private",2,N/A,False
The Cannon,"1155 Gordon St, Guelph",https://thecannon.ca/classified/housing/159803/,$850,8/Jun/2026,"One bedroom available in 4 bedroom/ 2.5 washrooms townhouse, all uog student rental.",4,N/A,False
The Cannon,"302 College Ave W, Guelph",https://thecannon.ca/classified/housing/159336/,$910 / room ($3640) Utilities,8/Jun/2026,"Welcome to this beautiful and well-maintained end-unit townhouse located a 20 minute walk from the University of Guelph. This 4-bedroom, 2.5-bathroom condominium townhouse is ideal for a group of responsible students seeking privacy, convenience, and",N/A,N/A,False
The Cannon,"35 Caledonia St, Guelph",https://thecannon.ca/classified/housing/159327/,$800,8/Jun/2026,"Rooms Available – 35 Caledonia St, Guelph (Old University Area)",N/A,N/A,False
The Cannon,"110 Kortright Rd W, Guelph",https://thecannon.ca/classified/housing/159321/,$1050,7/Jun/2026,FALL SUBLET (Sept 1 – Jan 1st) 🏡 Master Bedroom Available,N/A,N/A,False
The Cannon,"6 Valeriote Pl, Guelph",https://thecannon.ca/classified/housing/159315/,$825/room ($4125),7/Jun/2026,5 Bedroom House. OFFERING NEW TENANTS ONE MONTH HALF OFF!,5,N/A,False
The Cannon,"42 Doyle Dr, Guelph",https://thecannon.ca/classified/housing/159309/,$1700,7/Jun/2026,Modern Legal Basement Apartment for Rent – South End Guelph (Doyle Dr & Gosling Gardens),N/A,N/A,False
The Cannon,"1155 Gordon St, Guelph",https://thecannon.ca/classified/housing/159244/,$748 + utilities,7/Jun/2026,"Looking for a clean, responsible female tenant to sublet from September 1st to April 28th in a desirable student neighbourhood with opportunity to extend lease. Room is in a shared townhouse with three welcoming mature students. Upper floor shared",N/A,N/A,False
The Cannon,"383 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159256/,$950.00,7/Jun/2026,"1 furnished bedroom available in 3 bedroom all female  townhouse with 1 1/2 bathrooms.  Shared kitchen, living room and full basement with washer and dryer.  All utilities and wifi included.",3,2,False
The Cannon,"152 York Rd, Guelph",https://thecannon.ca/classified/housing/159303/,$2900,7/Jun/2026,"Student Rental – 3 bedroom house located just a 30 MINUTE WALK from campus, 15 MINUTE WALK from downtown and major transit routes.",3,N/A,False
The Cannon,"296 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159297/,$5500,7/Jun/2026,BRAND NEW!,N/A,N/A,False
The Cannon,"8 Orchard Crescent, Guelph",https://thecannon.ca/classified/housing/159291/,$2800,7/Jun/2026,BRAND NEW!,N/A,N/A,False
The Cannon,"37 Surrey St W, Guelph",https://thecannon.ca/classified/housing/159285/,$675 incl,7/Jun/2026,"Great 10 MINUTE WALK from downtown location. 20 MINUTE walk to university and right on the direct bus route. Close to parks, restaurants, cafes and bars. 2 bedrooms left in a 4 bedroom house. Current tenants are female UofG students. Lots of parking.",2,N/A,False
The Cannon,"71 Janefield Ave, Guelph",https://thecannon.ca/classified/housing/159270/,$975,7/Jun/2026,"One bedroom available in a fantastic 6 bedroom student home. 🏡 🛌Students are clean, welcoming and don’t have loud parties.",6,N/A,False
The Cannon,"638 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159262/,$950/incl utils and wifi,7/Jun/2026,6 rooms available in a 7-bedroom student home. One roommate confirmed (2nd-year female U of G student).,N/A,N/A,False
The Cannon,"454 College Ave W, Guelph",https://thecannon.ca/classified/housing/159250/,$900/incl.utils & wi-fi,7/Jun/2026,"Room for rent for studnet on College Avenue West — great location! International students are welcome in this quiet, respectful house.",N/A,N/A,False
The Cannon,"416 Scottsdale Dr, Guelph",https://thecannon.ca/classified/housing/159236/,$876,7/Jun/2026,"Hi! We’re looking for one more female student to join our home from July 1, 2026 – April 30, 2027.",N/A,N/A,False
The Cannon,"157 Janefield Ave, Guelph",https://thecannon.ca/classified/housing/159230/,$900/incl utils and wifi,7/Jun/2026,4 Rooms Available – Female Student House Near Stone Road Mall,N/A,N/A,False
The Cannon,"4 Crowe St, Guelph",https://thecannon.ca/classified/housing/159223/,$900/incl utils wifi,7/Jun/2026,5 rooms available in a 6-bedroom student home. One roommate confirmed (1st-year male U of G student).,N/A,N/A,False
